sampleName,fileName,condition
15-004,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/15-004-D0/quant.gcounts,m1
16-002,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-002-D0/quant.gcounts,m0
16-006,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-006-D0/quant.gcounts,m0
16-014,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-014-D0/quant.gcounts,m0
16-015,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-015-D0/quant.gcounts,m0
16-016,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-016-D0/quant.gcounts,m0
16-017,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-017-D0/quant.gcounts,m1
16-023,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-023-D0/quant.gcounts,m0
16-027,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/16-027-D0/quant.gcounts,m0
18-002,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-002-D0/quant.gcounts,m1
18-003,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-003-D0/quant.gcounts,m0
18-008,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-008-D0/quant.gcounts,m1
18-016,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-016-D0/quant.gcounts,m0
18-018,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-018-D0/quant.gcounts,m0
18-019,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-019-D0/quant.gcounts,m0
18-020,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-020-D0/quant.gcounts,m1
18-022,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/18-022-D0/quant.gcounts,m0
20-002,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/20-002-D0/quant.gcounts,m0
20-006,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/20-006-D0/quant.gcounts,m1
20-009,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/20-009-D0/quant.gcounts,m0
20-016,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/20-016-D0/quant.gcounts,m0
22-010,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/22-010-D0/quant.gcounts,m1
23-002,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/23-002-D0/quant.gcounts,m1
23-004,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/23-004-D0/quant.gcounts,m1
23-005,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/23-005-D0/quant.gcounts,m1
23-006,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/23-006-D0/quant.gcounts,m1
23-008,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/23-008-D0/quant.gcounts,m0
23-009,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/23-009-D0/quant.gcounts,m1
24-001,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/24-001-D0/quant.gcounts,m0
26-002,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/26-002-D0/quant.gcounts,m0
26-013,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/26-013-D0/quant.gcounts,m1
27-005,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/27-005-D0/quant.gcounts,m0
27-006,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/27-006-D0/quant.gcounts,m1
27-007,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/27-007-D0/quant.gcounts,m0
27-008,/u/home/s/serghei/code/Kinisha.Gala4//salmon.counts/D0/27-008-D0/quant.gcounts,m0
