"","1-b","1-t","10-b","10-t","5-b","5-t","s-b","s-t"
"Cre08.g367550.t1.2.v5.5",5.40185406255402,282.685129696575,125.027358654949,342.574275486892,111.368160613559,134.013916787267,0,0
"Cre08.g367600.t1.2.v5.5",0,103.39591566488,54.1814303731496,39.5930643105378,29.4748816059944,0,0,11.3121437983589
"Cre08.g367650.t1.2.v5.5",0,60.9235193311585,25.7383606442498,9.04984327098007,37.0110729257089,71.1094252340599,0,0
"Cre08.g367700.t1.1.v5.5",0,0,10.4698416179999,4.24211403327191,10.2157260111685,0,0,0
"Cre08.g367750.t1.1.v5.5",0,0,10.6443389782999,12.9148805012945,18.2543300855307,0,0,0
"Cre08.g367800.t1.2.v5.5",0,0,4.01343928689997,7.07019005545318,0.334941836431755,0,0,0
"Cre08.g367850.t1.1.v5.5",0,0,0,0.754153605915006,0,0,0,0
"Cre08.g367876.t1.2.v5.5",0,0,0,0,1.17229642751114,0,0,0
"Cre08.g367900.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g367900.t2.1.v5.5",0,0,0,0.188538401478752,0,0,0,0
"Cre08.g367950.t1.1.v5.5",0,0,5.49666684944996,4.52492163549004,15.9097372305084,0,247.888664471406,67.8728627901534
"Cre08.g368000.t1.1.v5.5",0,0,0,0.377076802957503,0,0,0,0
"Cre08.g368026.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368050.t1.2.v5.5",1085.77266657336,163.623166203683,51.9129646892496,15.2716105197789,78.5438606432466,38.2896905106476,0,11.3121437983589
"Cre08.g368100.t1.1.v5.5",16.2055621876621,0,6.36915365094995,4.61919083622941,42.5376132268329,0,0,0
"Cre08.g368150.t1.1.v5.5",0,0,0,0.0942692007393758,0.334941836431755,0,0,0
"Cre08.g368176.t1.1.v5.5",0,0,0,0.0942692007393758,0,0,0,0
"Cre08.g368200.t1.2.v5.5",0,135.424280113261,199.363234142748,162.897178877641,117.229642751114,2.73497789361769,0,0
"Cre08.g368226.t1.1.v5.5",0,0,0,1.03696120813313,0,0,0,0
"Cre08.g368250.t1.1.v5.5",0,82.1597174980195,89.4298971537493,17.7226097390026,59.1172341302048,0,0,2760.16308679957
"Cre08.g368300.t1.1.v5.5",0,0,7.06714309214994,4.33638323401129,7.53619131971449,0,0,0
"Cre08.g368350.t1.1.v5.5",5.40185406255402,0,19.2819583131499,10.8409580850282,45.7195606729346,328.197347234123,30.9860830589257,0
"Cre08.g368400.t1.2.v5.5",5.40185406255402,88.7742710254024,52.3492080899996,34.2197198683934,32.4893581338802,0,0,0
"Cre08.g368450.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368450.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368500.t1.2.v5.5",10.803708125108,0,49.1210069244496,16.8741869323483,9.37837142008914,0,10.3286943529752,0
"Cre08.g368550.t1.1.v5.5",0,25.4138109209975,18.1477254711999,10.9352272857676,4.01930203718106,0,0,0
"Cre08.g368600.t1.1.v5.5",0,0,2.87920644494998,3.95930643105378,1.00482550929527,0,10.3286943529752,0
"Cre08.g368650.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368700.t1.1.v5.5",0,0,19.1074609528499,13.6690341072095,4.52171479182869,0,0,0
"Cre08.g368750.t1.1.v5.5",745.455860632455,71.3675512165,13.5235454232499,3.39369122661753,5.69401121933984,0,0,0
"Cre08.g368800.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368800.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368850.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre08.g368900.t1.2.v5.5",0,0,0,0,0,0,0,0
