"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre01.g000017.t1.1.v5.5",4.35244915846245,-1.54511234778816,1.54594688925811,-0.999460174553373,0.317571822284834,0.99974133790568
"Cre01.g000033.t1.1.v5.5",0.629029347429631,-0.55520841423558,1.60883523796756,-0.345099610658065,0.730019486141446,0.99974133790568
"Cre01.g000050.t1.1.v5.5",24.9522618392398,0.810704054920068,1.50958162628384,0.537038899258328,0.591240744632352,0.99974133790568
"Cre01.g000100.t1.1.v5.5",13.1605930802513,-0.0146155240105561,1.43710214419956,-0.0101701358317134,0.991885545520769,0.99974133790568
"Cre01.g000150.t1.2.v5.5",6.34271049177945,-1.4590499156825,1.54456812433806,-0.944632931815673,0.344846308227386,0.99974133790568
"Cre01.g000200.t1.1.v5.5",6.70587004094457,-0.738627991220737,1.51228663588925,-0.488417984852726,0.625253805439243,0.99974133790568
"Cre01.g000250.t1.2.v5.5",18.4474449887535,-1.24463579853855,1.4611220445344,-0.851835617150765,0.394305334921922,0.99974133790568
"Cre01.g000300.t1.1.v5.5",76.9195160464598,-0.0300510275614269,1.38968213701907,-0.0216243893196235,0.982747578215167,0.99974133790568
"Cre01.g000350.t1.1.v5.5",268.928201647344,-0.160073413016046,1.19704993266329,-0.133723254684875,0.893621415737337,0.99974133790568
"Cre01.g000400.t1.2.v5.5",72.1685410330419,1.50208842274453,1.30573779226417,1.15037523738965,0.249989354643248,0.99974133790568
"Cre01.g000450.t1.2.v5.5",23.0390066778698,1.3439065004768,1.34058459811531,1.00247795056437,0.316112810632707,0.99974133790568
"Cre01.g000500.t1.1.v5.5",0.922504836375248,-0.651226101023473,1.59168138419415,-0.409143505409019,0.682434350817181,0.99974133790568
"Cre01.g000550.t1.2.v5.5",7.08481382629366,-2.33092757506248,1.42510987515816,-1.63561253465021,0.101920705325192,0.99974133790568
"Cre01.g000700.t1.1.v5.5",10.1445121088189,1.75608549923428,1.49848377716143,1.17190824885727,0.24123389490475,0.99974133790568
"Cre01.g000750.t1.1.v5.5",7.91894872250386,-0.547931514180665,1.47086146300054,-0.372524216565503,0.709502585132365,0.99974133790568
