"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre01.g000033.t1.1.v5.5",0.142639259984995,0.644609025928767,1.77533935842178,0.363090596099782,0.716537209191167,0.999933891758458
"Cre01.g000100.t1.1.v5.5",13.841110189134,-0.281283324742216,1.47292395701374,-0.190969345975267,0.848549609511676,0.999933891758458
"Cre01.g000250.t1.2.v5.5",17.2283091438744,-1.23354021783907,1.65682852514829,-0.744518940322247,0.456562587036226,0.999933891758458
"Cre01.g000300.t1.1.v5.5",191.240400866677,-1.70236287825149,1.48231532562124,-1.1484485445349,0.250783443301135,0.999933891758458
"Cre01.g000350.t1.1.v5.5",391.436663345898,-1.11903765265753,1.27831592335642,-0.875399916570956,0.381356345174067,0.999933891758458
"Cre01.g000400.t1.2.v5.5",56.6875640042666,2.23990484328192,1.58306207066193,1.41491915244065,0.157092201810408,0.999933891758458
"Cre01.g000450.t1.2.v5.5",20.6502954193794,1.34878524515385,1.63372041124317,0.825591230832145,0.409036011245422,0.999933891758458
"Cre01.g000550.t1.2.v5.5",2.95996554999046,-1.41587124192036,1.6307206614679,-0.86824879047393,0.385258149620979,0.999933891758458
"Cre01.g000700.t1.1.v5.5",9.75040175802736,1.46566507541799,1.57047091816867,0.933264703256718,0.350683314640915,0.999933891758458
"Cre01.g000750.t1.1.v5.5",4.55667309198672,0.143594103982857,1.67359153546199,0.0857999702676664,0.931625430115842,0.999933891758458
"Cre01.g000850.t1.2.v5.5",12.4520707979179,-1.04335967379216,1.61114587579139,-0.647588582430294,0.517251083924745,0.999933891758458
"Cre01.g000900.t1.2.v5.5",62.3241755042422,0.247680187601275,1.50558059827163,0.16450808936141,0.869331179115604,0.999933891758458
"Cre01.g000950.t1.1.v5.5",1.03849349391357,-0.17689543563526,1.77291559158349,-0.099776569440209,0.920521710085903,0.999933891758458
"Cre01.g001100.t1.2.v5.5",44.0311864977672,-0.726969539165065,1.50176326828763,-0.484077320651198,0.628330996034221,0.999933891758458
"Cre01.g001150.t1.1.v5.5",19.4410047193893,-0.377487721754527,1.42842536403799,-0.26426842539915,0.791573088536916,0.999933891758458
"Cre01.g001200.t1.1.v5.5",20.5980945625555,0.0791692266845881,1.45074955684766,0.0545712568450582,0.956480038338746,0.999933891758458
"Cre01.g001250.t1.2.v5.5",10.5273937785053,-0.00235283851247554,1.42885640227992,-0.00164665848067118,0.998686157215101,0.999933891758458
"Cre01.g001300.t1.1.v5.5",10.0399138544099,1.48575549236035,1.47610050161262,1.00654087627311,0.314155458896215,0.999933891758458
"Cre01.g001350.t1.2.v5.5",1.45866716933429,-0.238758302774402,1.77261002368092,-0.13469307946178,0.892854545116054,0.999933891758458
"Cre01.g001400.t1.1.v5.5",60.3276451969218,-0.048492629861915,1.35435663260925,-0.0358049192467799,0.971437910592059,0.999933891758458
"Cre01.g001550.t1.1.v5.5",24.1564908249236,0.906523408797255,1.54077058425378,0.588357162358665,0.556292584687761,0.999933891758458
"Cre01.g001600.t1.2.v5.5",7.6629100617472,0.577582906060128,1.61912579604928,0.356725158396864,0.721297569376204,0.999933891758458
"Cre01.g001650.t1.2.v5.5",4.52299115830353,-2.09552563866817,1.72177572202238,-1.21707235841773,0.223576686530854,0.999933891758458
"Cre01.g001657.t1.1.v5.5",0.553723951206137,-0.586929655851009,1.77380170983217,-0.330887975018663,0.740729105377239,0.999933891758458
"Cre01.g001671.t1.1.v5.5",0.0305655557110704,0.202191627997965,1.7758248370409,0.113857866936292,0.909350465612435,0.999933891758458
"Cre01.g001700.t1.1.v5.5",24.8971275393792,1.98313994157077,1.47576085854589,1.34380847011,0.1790103298177,0.999933891758458
"Cre01.g001750.t1.2.v5.5",16.8952860365819,-0.230539537207049,1.60038131825698,-0.144052879508826,0.88545871323589,0.999933891758458
"Cre01.g001800.t1.1.v5.5",33.8298508010431,1.84976039134675,1.57034269625405,1.17793421509791,0.238822833395747,0.999933891758458
"Cre01.g001983.t1.1.v5.5",5.16113541823058,-0.744862464425082,1.66340435334972,-0.447793985223795,0.65430188468607,0.999933891758458
"Cre01.g002050.t1.1.v5.5",109.328379324102,0.168356574813813,1.62015342135769,0.103913970488505,0.917237620283694,0.999933891758458
"Cre01.g002100.t1.2.v5.5",22.7479317051375,2.81534515331785,1.6194779630879,1.73842757819919,0.0821355008126647,0.999933891758458
"Cre01.g002200.t1.1.v5.5",14.3997950400657,0.230621112581858,1.70374393551103,0.135361369613729,0.892326165554599,0.999933891758458
"Cre01.g002227.t1.2.v5.5",3.40900443465499,2.01944021931559,1.74968774474088,1.15417178029939,0.248429749592447,0.999933891758458
"Cre01.g002250.t1.2.v5.5",4.85360360301491,-1.59752081547659,1.65209523962692,-0.966966538707139,0.333560761424186,0.999933891758458
"Cre01.g002300.t1.2.v5.5",1582.98586021082,0.218480422098474,1.1959000625419,0.182691203840303,0.855040317924519,0.999933891758458
"Cre01.g002350.t1.1.v5.5",43.1466754099972,-0.519991583228415,1.4511990258523,-0.358318586193247,0.720104910513616,0.999933891758458
"Cre01.g002400.t1.1.v5.5",1.69176055346637,-1.47680076069849,1.74118176657354,-0.848160019275113,0.3963488597063,0.999933891758458
"Cre01.g002451.t1.1.v5.5",1.51601462377589,0.752973575686412,1.77426763037387,0.424385567766767,0.671284644306541,0.999933891758458
"Cre01.g002500.t1.2.v5.5",164.096273213854,-0.610515397167197,1.58675185621138,-0.384757953663214,0.700416753462504,0.999933891758458
"Cre01.g002550.t1.1.v5.5",6.76852020270454,0.234499506541385,1.66511092095471,0.14083116241105,0.888003324355463,0.999933891758458
"Cre01.g002600.t1.2.v5.5",1.22253146112459,-0.833391964757731,1.74494560603851,-0.477603406016623,0.632932506201387,0.999933891758458
"Cre01.g002650.t1.2.v5.5",0.059440910157655,-0.395620729224333,1.77564602476419,-0.222803826723781,0.823688189574877,0.999933891758458
"Cre01.g002787.t1.1.v5.5",5.28753175599796,-1.87974126602283,1.59671499692852,-1.17725534590628,0.239093604107777,0.999933891758458
"Cre01.g002824.t1.1.v5.5",0.0407540742814272,0.2613335463042,1.77576854448053,0.147166446391046,0.883000644090553,0.999933891758458
"Cre01.g002861.t1.1.v5.5",8.38640049061279,-0.036101444231231,1.54261661292858,-0.0234027326872191,0.981329025234978,0.999933891758458
"Cre01.g002950.t1.1.v5.5",2.39546136358596,0.789206537879963,1.72775629365616,0.456781168025669,0.647828342911979,0.999933891758458
"Cre01.g003050.t1.2.v5.5",27.9513002418361,1.39203298229096,1.49178408404137,0.933133016488435,0.350751294041474,0.999933891758458
"Cre01.g003200.t1.2.v5.5",1.922219233385,-0.566718837801164,1.71202333791339,-0.331022846038933,0.740627228823676,0.999933891758458
"Cre01.g003300.t1.2.v5.5",1.28101646898764,-0.430762847841266,1.7754388693015,-0.242623305870699,0.808297225111267,0.999933891758458
"Cre01.g003376.t1.1.v5.5",5.58679952430397,-1.37742117311014,1.48940466293025,-0.924813254176474,0.355063054997993,0.999933891758458
"Cre01.g003450.t1.1.v5.5",0.0101885185703568,0.0402278207079651,1.7759213713019,0.0226518028095324,0.98192802174504,0.999933891758458
"Cre01.g003475.t1.1.v5.5",0.632982575314872,-0.154762574139445,1.77095039608418,-0.0873895590083423,0.930361868332345,0.999933891758458
"Cre01.g003487.t1.1.v5.5",12.3648091996383,-2.4843852861652,1.59505045109832,-1.55755906307195,0.119337809262632,0.999933891758458
"Cre01.g003508.t1.1.v5.5",0.289981314238933,0.94655871279958,1.77487581028075,0.533309827829505,0.593819125651895,0.999933891758458
"Cre01.g003532.t1.1.v5.5",16.3499690434798,4.29641063718942,1.57519030515432,2.72755020338225,0.00638065473806668,0.999933891758458
"Cre01.g003550.t1.1.v5.5",11.1974069382116,-0.156601288170344,1.58695888395935,-0.0986801168910153,0.921392256222439,0.999933891758458
"Cre01.g003650.t1.1.v5.5",1.42653453280028,-0.598198744620741,1.7726925655581,-0.337452052455813,0.735776151091724,0.999933891758458
"Cre01.g003700.t1.2.v5.5",36.8134824902713,2.16495774682559,1.46283400173134,1.47997499665939,0.138879919446833,0.999933891758458
"Cre01.g003751.t1.1.v5.5",2.18050358204798,-0.156409874345245,1.6310381904157,-0.095895899473317,0.923603251318745,0.999933891758458
"Cre01.g003826.t1.1.v5.5",0.132450741414639,0.613772619944251,1.77538879942979,0.345711666166521,0.729559415942348,0.999933891758458
"Cre01.g003850.t1.1.v5.5",4.17030687849765,-1.12943334137254,1.58630460988858,-0.711990203099686,0.476470842668823,0.999933891758458
"Cre01.g003950.t1.1.v5.5",0.0305655557110704,0.202191627997965,1.7758248370409,0.113857866936292,0.909350465612435,0.999933891758458
"Cre01.g004000.t1.2.v5.5",22.5715403780861,0.170462183745689,1.63098989286771,0.104514555541464,0.916761017886434,0.999933891758458
"Cre01.g004157.t1.2.v5.5",18.5240768172732,3.19739986419467,1.50595540515222,2.12317034970334,0.033739579612865,0.999933891758458
"Cre01.g004250.t1.2.v5.5",21.932720739004,1.04897796425577,1.5901743008058,0.659662254461171,0.509470594133987,0.999933891758458
"Cre01.g004300.t1.2.v5.5",504.48502240184,1.79101421076654,1.54587935510862,1.15857308324083,0.24663024583032,0.999933891758458
"Cre01.g004350.t1.2.v5.5",38.7515040740879,-0.761797729861875,1.47795601845099,-0.515440053933604,0.606245549211745,0.999933891758458
"Cre01.g004400.t1.2.v5.5",2.8915781244472,-1.06196641839277,1.68099430985516,-0.631748966767335,0.527550925589275,0.999933891758458
"Cre01.g004450.t1.2.v5.5",45.7181401816891,-0.20632916478709,1.55179807322385,-0.132961348739429,0.894223948267441,0.999933891758458
"Cre01.g004500.t1.2.v5.5",621.264187726085,1.32743650013384,1.30841811949539,1.01453539992688,0.310327346619713,0.999933891758458
"Cre01.g004550.t1.2.v5.5",35.9095854692055,-3.11938463908516,1.42779962221765,-2.18474958989005,0.0289072120141455,0.999933891758458
"Cre01.g004600.t1.1.v5.5",83.3104202136889,0.144700551247392,1.35101204328886,0.107105300775216,0.914705441949969,0.999933891758458
"Cre01.g004651.t1.1.v5.5",4.24954518541307,-0.79776425267213,1.71056049595529,-0.466375936167406,0.640946433022864,0.999933891758458
"Cre01.g004700.t1.2.v5.5",0.439858474593205,0.656367870266522,1.77421679306541,0.369947952714662,0.711421271029655,0.999933891758458
"Cre01.g004750.t2.1.v5.5",0.315844075681061,1.00430288956055,1.77479313453437,0.565870393579157,0.571481889073276,0.999933891758458
"Cre01.g004800.t1.2.v5.5",7.05901956409004,-1.35736478568207,1.69678675154103,-0.799961918873602,0.423732861064148,0.999933891758458
"Cre01.g004850.t1.1.v5.5",3.49546769127123,1.94627058300812,1.61223231137648,1.20718991256691,0.227359014363967,0.999933891758458
"Cre01.g004900.t1.2.v5.5",736.650545978511,-1.24170386889558,1.26645529914381,-0.98045613590549,0.326861011638916,0.999933891758458
"Cre01.g004950.t1.1.v5.5",26.1571965789625,-0.962126988389666,1.58511462058648,-0.606976287956822,0.543866648507612,0.999933891758458
"Cre01.g005001.t1.1.v5.5",5.17298160029502,-0.34622658517725,1.70823955782656,-0.202680346319671,0.839384885709338,0.999933891758458
"Cre01.g005050.t1.1.v5.5",828.839328554297,0.563950826852448,1.26889427496265,0.444442723070092,0.656722530855669,0.999933891758458
"Cre01.g005100.t1.1.v5.5",6.31437091671408,0.570198327346587,1.63019433692082,0.34977322300334,0.726508896159507,0.999933891758458
"Cre01.g005126.t1.1.v5.5",0.0509425928517841,0.313729257590766,1.77571887909017,0.176677322793072,0.859761854427331,0.999933891758458
"Cre01.g005150.t1.1.v5.5",184.502380944426,-0.176684628981253,1.36546735767044,-0.129394985525458,0.897045115297357,0.999933891758458
"Cre01.g005200.t1.1.v5.5",2.68310812136128,-0.308093310613136,1.73536726276899,-0.177537814169396,0.85908596555941,0.999933891758458
"Cre01.g005300.t1.2.v5.5",0.0305655557110704,0.202191627997965,1.7758248370409,0.113857866936292,0.909350465612435,0.999933891758458
"Cre01.g005400.t1.1.v5.5",2.76639438902588,-0.316884138366226,1.72721719158616,-0.183465136816534,0.854433071250448,0.999933891758458
"Cre01.g005450.t1.2.v5.5",93.4901892858212,-0.369053575594412,1.44982030534824,-0.254551253167728,0.799069713384259,0.999933891758458
"Cre01.g005534.t1.2.v5.5",1.34978841474368,-1.33505617237414,1.76148700024757,-0.757914291837807,0.448502293837609,0.999933891758458
"Cre01.g005543.t1.1.v5.5",0.0509425928517841,0.313729257590766,1.77571887909017,0.176677322793072,0.859761854427331,0.999933891758458
"Cre01.g005550.t1.2.v5.5",14.5966282465523,1.78810760537111,1.64826761775185,1.08484058420682,0.277992267152445,0.999933891758458
"Cre01.g005651.t1.1.v5.5",0.0583189972546425,-0.00687903369095887,1.77561305852325,-0.00387417385670729,0.99690886422646,0.999933891758458
"Cre01.g005750.t1.1.v5.5",0.0203770371407136,0.128338880625381,1.77587055994324,0.0722681503484594,0.94238851074044,0.999933891758458
"Cre01.g005900.t1.1.v5.5",25.6832034113346,-0.921054025165357,1.60805518959098,-0.572775133047289,0.566796958223842,0.999933891758458
"Cre01.g005950.t1.2.v5.5",20.8451711460829,0.635066669522948,1.6326905941817,0.388969393090208,0.697298787781109,0.999933891758458
"Cre01.g006050.t1.1.v5.5",59.5394530216972,0.319015214557296,1.40033889359867,0.227812864454169,0.819791725257852,0.999933891758458
"Cre01.g006100.t1.2.v5.5",2.00898910508388,-1.9656973314186,1.7286480964176,-1.13712983891415,0.255484011684396,0.999933891758458
"Cre01.g006250.t1.2.v5.5",0.0203770371407136,0.128338880625381,1.77587055994324,0.0722681503484594,0.94238851074044,0.999933891758458
"Cre01.g006500.t1.1.v5.5",1.47526054949447,0.545426158715222,1.77549895134152,0.307195990345764,0.75869419731824,0.999933891758458
"Cre01.g006550.t1.1.v5.5",97.2191051852531,0.22198001045353,1.43808736133166,0.154357806363013,0.87732762051724,0.999933891758458
"Cre01.g006766.t1.1.v5.5",0.464413439098413,1.15883463985277,1.77458346656707,0.653017827386015,0.513744785563138,0.999933891758458
"Cre01.g006900.t1.1.v5.5",0.126965017113224,0.542316560248878,1.77550397307595,0.305443732299482,0.760028218560453,0.999933891758458
"Cre01.g007000.t1.2.v5.5",5.6849367721121,-0.792525423826717,1.59829323009679,-0.495857336377959,0.61999506863917,0.999933891758458
"Cre01.g007051.t1.2.v5.5",9842.49884752639,-0.356380610163088,1.23761780190843,-0.287956919828999,0.773379715512897,0.999933891758458
"Cre01.g007150.t1.1.v5.5",28.2431243535873,-0.605637184050837,1.56896784094999,-0.386009941213409,0.699489306317861,0.999933891758458
"Cre01.g007200.t1.2.v5.5",36.2181567298273,-2.20611489363892,1.57607288594737,-1.39975435990883,0.161586889253051,0.999933891758458
"Cre01.g007251.t1.1.v5.5",6.95546130772506,-0.272115172132474,1.49280488854581,-0.182284486218121,0.855359472923678,0.999933891758458
"Cre01.g007400.t1.1.v5.5",10.7502104682738,1.43752748505233,1.63893757067771,0.877109360826908,0.380427240762994,0.999933891758458
