"","1-m","1-t","10-m","10-t","5-m","5-t","s-m","s-t"
"Cre01.g002227.t1.2.v5.5",0,0,0,3.99389927957987,0,0,0,23.2781361976601
"Cre01.g002234.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002234.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002250.t1.2.v5.5",0,0.304492153666977,13.9877345379603,4.56445631951985,19.9721458129721,0,0,0
"Cre01.g002300.t1.2.v5.5",1053.39909656934,1191.78228945255,1449.17370363916,1278.6183265055,1304.84685978084,665.961698868244,1972.32497904762,3747.77992782327
"Cre01.g002350.t1.1.v5.5",177.111089550271,55.7220641210568,13.7657070056118,40.5095498357387,21.3987276567558,36.6662651105435,0,0
"Cre01.g002400.t1.1.v5.5",0,0,3.99649558227438,0.978097782754254,8.55949106270232,0,0,0
"Cre01.g002451.t1.1.v5.5",0,0,0,0.489048891377127,0,0,0,11.63906809883
"Cre01.g002500.t1.2.v5.5",456.16402715564,258.209346309596,172.515392634844,210.943088480667,214.93833113008,0,0,0
"Cre01.g002550.t1.1.v5.5",0,0,5.32866077636584,9.37343708472827,16.1679275628822,0,0,23.2781361976601
"Cre01.g002600.t1.2.v5.5",7.20800945844126,0,0.222027532348577,1.87468741694565,0.47552728126124,0,0,0
"Cre01.g002650.t1.2.v5.5",0,0,0,0,0.47552728126124,0,0,0
"Cre01.g002700.t1.2.v5.5",183.289383371792,0,20.4265329760691,13.2858282157453,0,0,0,11.63906809883
"Cre01.g002750.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002750.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g002787.t1.1.v5.5",15.4457345538027,0.608984307333954,12.6555693438689,3.42334223963989,0,0,10.1666236033383,0
"Cre01.g002824.t1.1.v5.5",0,0,0,0.326032594251418,0,0,0,0
"Cre01.g002861.t1.1.v5.5",4.11886254768072,0,18.6503127172805,21.844183814845,9.98607290648604,0.852703839780082,0,11.63906809883
"Cre01.g002900.t1.2.v5.5",0,0,0,4.89048891377127,0,0,0,0
"Cre01.g002950.t1.1.v5.5",0,6.69882738067349,4.88460571166869,7.58025781634547,0,0,0,0
"Cre01.g003000.t1.1.v5.5",0,0,3.77446804992581,10.9220919074225,0,0,0,0
"Cre01.g003050.t1.2.v5.5",0,2.74042938300279,37.3006254345609,20.703069734965,9.5105456252248,48.6041188674647,0,104.75161288947
"Cre01.g003100.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003100.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003150.t1.2.v5.5",251.250615408524,0,27.5314140112235,7.82478226203403,5.23080009387364,0,0,0
"Cre01.g003200.t1.2.v5.5",2.05943127384036,0,0,2.20072001119707,8.55949106270232,2.55811151934025,0,0
"Cre01.g003250.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003300.t1.2.v5.5",0,0,0,0.0815081485628545,0,0,10.1666236033383,0
"Cre01.g003376.t1.1.v5.5",11.326872006122,1.52246076833488,4.66257817932011,6.35763558790265,19.9721458129721,0.852703839780082,0,0
"Cre01.g003450.t1.1.v5.5",0,0,0,0.0815081485628545,0,0,0,0
"Cre01.g003450.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003463.t1.1.v5.5",0,0,32.6380472552408,29.4244416311905,0,0,0,0
"Cre01.g003475.t1.1.v5.5",0,1.21796861466791,1.99824779113719,0.896589634191399,0.95105456252248,0,0,0
"Cre01.g003487.t1.1.v5.5",25.7428909230045,0,5.99474337341157,5.70557039939981,0.47552728126124,0,60.9997416200295,0
"Cre01.g003500.t1.2.v5.5",209.032274294797,0.304492153666977,16.6520649261433,13.1228119186196,0.95105456252248,2.55811151934025,0,0
"Cre01.g003508.t1.1.v5.5",0,0,0,1.46714667413138,0,0.852703839780082,0,0
"Cre01.g003516.t1.1.v5.5",0,0,0,10.5145511646082,4.27974553135116,0,0,0
"Cre01.g003524.t1.1.v5.5",121.506445156581,5.17636661233861,6.21677090576015,3.09730964538847,0,17.9067806353817,0,11.63906809883
"Cre01.g003532.t1.1.v5.5",0,70.0331953434047,0.444055064697154,6.60216003359121,0,53.7203419061452,0,0
"Cre01.g003541.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003550.t1.1.v5.5",11.326872006122,0,22.8688358319034,40.2650253900501,14.2658184378372,0.852703839780082,0,0
"Cre01.g003600.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003650.t1.1.v5.5",0,0,0,2.85278519969991,8.55949106270232,0,0,0
"Cre01.g003650.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g003700.t1.2.v5.5",4.11886254768072,65.770305192067,16.6520649261433,5.86858669652552,5.70632737513488,0,10.1666236033383,186.22508958128
"Cre01.g003751.t1.1.v5.5",2.05943127384036,0.304492153666977,0.444055064697154,3.99389927957987,0.47552728126124,0,10.1666236033383,0
"Cre01.g003800.t1.1.v5.5",1.02971563692018,104.136316554106,7.54893609985161,7.66176596490832,0,7.67433455802074,10.1666236033383,11.63906809883
"Cre01.g003826.t1.1.v5.5",0,0,0,1.05960593131711,0,0,0,0
"Cre01.g003850.t1.1.v5.5",0,3.34941369033675,7.99299116454876,3.09730964538847,18.0700366879271,0.852703839780082,0,0
"Cre01.g003950.t1.1.v5.5",0,0,0,0.244524445688563,0,0,0,0
"Cre01.g003950.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g004000.t1.2.v5.5",0,71.2511639580726,41.2971210168353,26.6531645800534,41.3708734697279,0,0,0
"Cre01.g004050.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g004124.t1.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g004124.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g004157.t1.2.v5.5",1.02971563692018,42.9333936670437,0.222027532348577,3.74937483389131,4.7552728126124,95.5028300553692,0,0
"Cre01.g004200.t1.2.v5.5",1.02971563692018,3.04492153666977,24.8670836230406,20.2955289921508,0.47552728126124,0,0,0
"Cre01.g004250.t1.2.v5.5",0,0.304492153666977,28.6415516729664,22.3332327062221,17.5945094066659,106.58797997251,0,0
"Cre01.g004300.t1.2.v5.5",0,354.733359022028,338.147931766882,560.939078409565,298.631132632059,39.2243766298838,0,2444.20430075431
"Cre01.g004350.t1.2.v5.5",8.23772509536144,40.4974564377079,48.1799745196412,59.4194403023209,150.266620878552,3.41081535912033,0,0
"Cre01.g004400.t1.2.v5.5",1.02971563692018,0,14.2097620703089,4.56445631951985,3.32869096882868,0,0,0
"Cre01.g004450.t1.2.v5.5",1.02971563692018,90.7386617927591,26.1992488171321,73.357333706569,173.567457660353,0.852703839780082,0,0
"Cre01.g004500.t1.2.v5.5",266.696349962327,433.596826821775,378.778970186672,432.31921997738,572.059319357272,224.261109862162,20.3332472066765,2642.06845843442
"Cre01.g004550.t1.2.v5.5",197.705402288675,2.74042938300279,9.76921142333738,12.307730432991,53.7345827825201,0.852703839780082,10.1666236033383,0
"Cre01.g004600.t1.1.v5.5",62.812653852131,1.21796861466791,101.022527218602,71.0751055468091,135.049747878192,98.9136454144895,10.1666236033383,186.22508958128
"Cre01.g004651.t1.1.v5.5",0,0,7.99299116454876,8.88438819335114,17.1189821254046,0,0,0
"Cre01.g004700.t1.2.v5.5",0,0,0.66608259704573,2.85278519969991,0,0,0,0
"Cre01.g004750.t1.1.v5.5",0,0,0,8.55835559909972,0,0,0,0
"Cre01.g004750.t2.1.v5.5",0,0,0,2.52675260544849,0,0,0,0
"Cre01.g004800.t1.2.v5.5",0,0,15.3198997320518,9.29192893616541,31.8603278445031,0,0,0
"Cre01.g004850.t1.1.v5.5",2.05943127384036,3.34941369033675,0,9.21042078760256,0,1.70540767956016,0,11.63906809883
"Cre01.g004900.t1.2.v5.5",548.838434478456,301.751724283974,583.932410076757,273.785871022628,1475.08562647237,956.733708233252,1718.15938896416,34.9172042964901
"Cre01.g004926.t1.1.v5.5",0,0,0,0.244524445688563,30.9092732819806,0,0,0
"Cre01.g004950.t1.1.v5.5",0,11.5707018393451,37.3006254345609,47.030201720767,103.189420033689,0,10.1666236033383,0
"Cre01.g005001.t1.1.v5.5",0,0,11.7674592144746,16.3016297125709,13.3147638753147,0,0,0
"Cre01.g005050.t1.1.v5.5",132.833317162703,449.125926658791,576.827529041603,670.893570820855,301.484296319626,406.739731575099,1555.49341131075,2537.31684554495
"Cre01.g005100.t1.1.v5.5",0,11.2662096856781,9.10312882629165,21.1106104777793,9.03501834396356,0,0,0
"Cre01.g005126.t1.1.v5.5",0,0,0,0.407540742814272,0,0,0,0
"Cre01.g005150.t1.1.v5.5",393.351373303509,208.272633108212,131.662326682706,229.85297894725,268.197386631339,209.7651445859,0,34.9172042964901
"Cre01.g005200.t1.1.v5.5",5.1485781846009,0,0,8.2323230048483,8.08396378144108,0,0,0
"Cre01.g005250.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g005300.t1.2.v5.5",0,0,0,0.244524445688563,0,0,0,0
"Cre01.g005350.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g005400.t1.1.v5.5",0,3.04492153666977,13.5436794732632,5.5425541022741,0,0,0,0
"Cre01.g005450.t1.2.v5.5",304.795828528373,83.4308501047517,64.8320394457844,92.430240470277,65.1472375327899,137.285318204593,0,0
"Cre01.g005500.t1.2.v5.5",209.032274294797,0,9.5471838909888,10.5960593131711,16.6434548441434,0,0,0
"Cre01.g005534.t1.2.v5.5",1.02971563692018,0,0,0.73357333706569,9.03501834396356,0,0,0
"Cre01.g005543.t1.1.v5.5",0,0,0,0.407540742814272,0,0,0,0
"Cre01.g005550.t1.2.v5.5",0,83.4308501047517,15.0978721997032,17.7687763867023,0.47552728126124,0,0,0
"Cre01.g005600.t1.1.v5.5",0,0,19.9824779113719,7.25422522209405,0,0,0,0
"Cre01.g005651.t1.1.v5.5",0,0,0.222027532348577,0.244524445688563,0,0,0,0
"Cre01.g005701.t1.2.v5.5",0,0,0,0,0,0,0,0
"Cre01.g005701.t2.1.v5.5",0,0,0,0,0,0,0,0
"Cre01.g005750.t1.1.v5.5",0,0,0,0.163016297125709,0,0,0,0
"Cre01.g005813.t1.2.v5.5",0,0,10.6573215527317,24.5339527174192,0,0,0,0
"Cre01.g005850.t1.2.v5.5",195.645971014834,0,11.1013766174288,8.88438819335114,9.03501834396356,0,0,0
"Cre01.g005900.t1.1.v5.5",113.26872006122,0,23.3128908966006,11.8186815416139,0,46.8987111879045,10.1666236033383,0
"Cre01.g005950.t1.2.v5.5",0,75.2095619557433,46.6257817932011,33.9888979507103,10.9371274690085,0,0,0
"Cre01.g006000.t1.1.v5.5",5.1485781846009,163.816778672834,0.222027532348577,2.93429334826276,0,0,0,0
"Cre01.g006050.t1.1.v5.5",145.189904805745,148.896663143152,47.9579469872926,18.1763171295166,12.3637093127922,92.0920146962489,0,11.63906809883
"Cre01.g006100.t1.2.v5.5",0,0,7.10488103515446,0.407540742814272,8.55949106270232,0,0,0
"Cre01.g006150.t1.1.v5.5",0,0,34.1922399816808,52.4097395259154,0,0.852703839780082,0,0
"Cre01.g006202.t1.1.v5.5",0,0,0,0,0,0,0,0
